library_name,library_system,address,zip_code,latitude,longitude,coordinate,county
Hill Avenue Branch,Pasadena Public Library,"55 South Hill Ave, Pasadena, CA 91106",91106,34.14545513,-118.1212454,POINT (-118.1212454 34.14545513),Los Angeles
Jefferson Branch Children and Teen Services,Pasadena Public Library,"1500 E Villa St, Pasadena CA 91106",91106,34.153927,-118.119344,POINT (-118.119344 34.153927),Los Angeles
La Pintoresca Branch,Pasadena Public Library,"1355 N Raymond Ave, Pasadena, CA 91103",91103,34.168371,-118.1491909,POINT (-118.1491909 34.168371),Los Angeles
Lamanda Park Branch,Pasadena Public Library,"140 South Altadena Dr, Pasadena, CA 91107",91107,34.143572,-118.098585,POINT (-118.098585 34.143572),Los Angeles
Linda Vista Branch,Pasadena Public Library,"1281 Bryant St, Pasadena, CA 91103",91103,34.16991418,-118.1777599,POINT (-118.1777599 34.16991418),Los Angeles
San Rafael Branch,Pasadena Public Library,"1240 Nithsdale Rd, Pasadena, CA 91105",91105,34.13582494,-118.1758306,POINT (-118.1758306 34.13582494),Los Angeles
Santa Catalina Branch,Pasadena Public Library,"999 E Washington Blvd, Pasadena, CA 91104",91104,34.16925215,-118.1298833,POINT (-118.1298833 34.16925215),Los Angeles
Ville Parke Community Center Branch,Pasadena Public Library,"363 E Villa St, Pasadena, CA 91101",91101,34.15427926,-118.1420756,POINT (-118.1420756 34.15427926),Los Angeles
Central Library,Pasadena Public Library,"285 East Walnut Street, Pasadena, CA 91101",91101,34.14960816,-118.1445879,POINT (-118.1445879 34.14960816),Los Angeles
Pomona Public Library,Pomona Public Library,"625 S. Garey Ave, Pomona, CA 91766",91766,34.0539011,-117.7506526,POINT (-117.7506526 34.0539011),Los Angeles
Main Branch Library,Redondo Beach Public Library,"303 N. Pacific Coast Highway, Redondo Beach, CA 90277",90277,33.8459641,-118.3881593,POINT (-118.3881593 33.8459641),Los Angeles
North Branch Library,Redondo Beach Public Library,"2000 Artesia Boulevard, Redondo Beach, CA 90278",90278,33.8725933,-118.3768269,POINT (-118.3768269 33.8725933),Los Angeles
Canyon Country Jo Anne Darcy Library,Santa Clarita Public Library,"18601 Soledad Canyon Rd., Santa Clarita, CA 91351",91351,34.4164602,-118.4590695,POINT (-118.4590695 34.4164602),Los Angeles
Old Town Newhall Library,Santa Clarita Public Library,"24500 Main St., Santa Clarita, CA 91321",91321,34.3819867,-118.5300632,POINT (-118.5300632 34.3819867),Los Angeles
Valencia Library,Santa Clarita Public Library,"23743 W. Valencia Blvd., Santa Clarita, CA 91355",91355,34.4154788,-118.5509066,POINT (-118.5509066 34.4154788),Los Angeles
Santa Fe Springs City Library,Santa Fe Springs City Library,"11700 Telegraph Rd., Santa Fe Springs, CA 90670",90670,33.946368,-118.084072,POINT (-118.084072 33.946368),Los Angeles
Main Library,Santa Monica Public Library,"601 Santa Monica Blvd., Santa Monica, CA 90401",90401,34.01791975,-118.4937552,POINT (-118.4937552 34.01791975),Los Angeles
Montana Branch Library,Santa Monica Public Library,"1704 Montana Ave., Santa Monica, CA 90403",90403,34.03456718,-118.4920983,POINT (-118.4920983 34.03456718),Los Angeles
Pico Branch Library,Santa Monica Public Library,"2201 Pico Blvd., Santa Monica, CA 90405",90405,34.020617,-118.467414,POINT (-118.467414 34.020617),Los Angeles
Fairview Branch Library,Santa Monica Public Library,"2101 Ocean Park Blvd., Santa Monica, CA 90405",90405,34.014454,-118.463584,POINT (-118.463584 34.014454),Los Angeles
Ocean Park Branch Library,Santa Monica Public Library,"2601 Main St., Santa Monica, CA 90405",90405,34.002279,-118.48371,POINT (-118.48371 34.002279),Los Angeles
Sierre Madre Public Library,Sierre Madre Public Library,"440 W. Sierra Madre Blvd., Sierra Madre, CA 91024",91024,34.16175798,-118.0618271,POINT (-118.0618271 34.16175798),Los Angeles
Signal Hill Public Library,Signal Hill Public Library,"1800 E. Hill St., Signal Hill, CA 90755",90755,33.7967729,-118.1691262,POINT (-118.1691262 33.7967729),Los Angeles
Simi Valley Public Library,Simi Valley Public Library,"2969 Tapo Canyon Rd, Simi Valley, CA 93063",93063,34.289033,-118.7193374,POINT (-118.7193374 34.289033),Ventura
South Pasadena Public Library,South Pasadena Public Library,"1100 Oxley Street, South Pasadena, CA 91030",91030,34.1142732,-118.1557794,POINT (-118.1557794 34.1142732),Los Angeles
Grant R. Brimhall Library,Thousand Oaks Library System,"1401 East Janss Road, Thousand Oaks, CA 91362",91362,34.2011835,-118.8525902,POINT (-118.8525902 34.2011835),Ventura
Newbury Park Library,Thousand Oaks Library System,"2331 Borchard Road, Newbury Park, CA 91320",91320,34.1817719,-118.9286542,POINT (-118.9286542 34.1817719),Ventura
Katy Geissert Civic Center Library,Torrance Public Library,"3301 Torrance Blvd., Torrance, CA 90503",90503,33.83712469,-118.3429843,POINT (-118.3429843 33.83712469),Los Angeles
El Retiro Library,Torrance Public Library,"126 Vista Del Parque, Redondo Beach, CA 90277",90277,33.8156307,-118.3789258,POINT (-118.3789258 33.8156307),Los Angeles
Henderson Library,Torrance Public Library,"4805 Emerald Street, Torrance, CA 90503",90503,33.8414378,-118.3642093,POINT (-118.3642093 33.8414378),Los Angeles
North Torrance Library,Torrance Public Library,"3604 Artesia Blvd., Torrance, CA 90504",90504,33.87298121,-118.3354027,POINT (-118.3354027 33.87298121),Los Angeles
Southeast Library,Torrance Public Library,"23115 Arlington Ave., Torrance, CA 90501",90501,33.81544343,-118.3199569,POINT (-118.3199569 33.81544343),Los Angeles
Walteria Library,Torrance Public Library,"3815 242nd St., Torrance, CA 90505",90505,33.80456265,-118.3530364,POINT (-118.3530364 33.80456265),Los Angeles
Albert H. Soliz Library,Ventura County Library,"2820 Jourdan Street, Oxnard, CA 93036",93036,34.2370591,-119.1682223,POINT (-119.1682223 34.2370591),Ventura
Avenue Library,Ventura County Library,"606 North Ventura Avenue, Ventura, CA 93001",93001,34.28864065,-119.2982946,POINT (-119.2982946 34.28864065),Ventura
E.P. Foster Library,Ventura County Library,"651 East Main Street, Ventura, CA 93001",93001,34.28090653,-119.2907755,POINT (-119.2907755 34.28090653),Ventura
Fillmore Library,Ventura County Library,"502 2nd Street, Fillmore, CA 93015",93015,34.40432576,-118.9146736,POINT (-118.9146736 34.40432576),Ventura
Hill Road Library,Ventura County Library,"1070 S. Hill Road, Ventura, CA 93003",93003,34.267072,-119.2064857,POINT (-119.2064857 34.267072),Ventura
Meiners Oaks Library,Ventura County Library,"400 South Lomita Avenue, Ojai, CA 93023",93023,34.4444661,-119.2770085,POINT (-119.2770085 34.4444661),Ventura
Mobile Library,Ventura County Library,"Ventura, CA 93003",93003,34.2783355,-119.293174,POINT (-119.293174 34.2783355),Ventura
Oak Park Library,Ventura County Library,"899 North Kanan Road, Oak Park, CA 91377",91377,34.180315,-118.765053,POINT (-118.765053 34.180315),Ventura
Oak View Library,Ventura County Library,"555 Mahoney Avenue, Oak View, CA 93022",93022,34.39947315,-119.3051311,POINT (-119.3051311 34.39947315),Ventura
Ojai Library,Ventura County Library,"111 East Ojai Avenue, Ojai, CA 93023",93023,34.44784348,-119.2468733,POINT (-119.2468733 34.44784348),Ventura
Piru Library,Ventura County Library,"3811 Center Street, Piru, CA 93040",93040,34.41546356,-118.7964809,POINT (-118.7964809 34.41546356),Ventura
Ray D. Prueter Library,Ventura County Library,"510 Park Avenue, Port Hueneme, CA 93041",93041,34.15675863,-119.1937273,POINT (-119.1937273 34.15675863),Ventura
Saticoy Library,Ventura County Library,"1292 Los Angeles Avenue, Ventura, CA 93004",93004,34.2835921,-119.1481146,POINT (-119.1481146 34.2835921),Ventura
Whittier Central Library,Whittier Public Library,"7344 Washington Ave., Whittier, CA 90602",90602,33.97510898,-118.0348839,POINT (-118.0348839 33.97510898),Los Angeles
Whittwood Branch Library,Whittier Public Library,"10537 Santa Gertrudes Ave., Whittier, CA 90603",90603,33.93988857,-117.9930108,POINT (-117.9930108 33.93988857),Los Angeles
